;'BEGIN';'decl_list';'PROGRAM';'COLON';'LEFT_PAREN';'REAL';'NOT';'var_decl';'WHILE';'factor';'SEMICOLON';'assign';'type';'expr';'block_without_if';'DIVIDE';'CHAR';'DOT';'DIV';'VAR';'PRINT';'stmt_list';'IDENTIFIER';'MULTIPLICATION';'GREATER_EQ';'LEFT_BRACKET';'block';'full_id';'ARRAY';'IF';'RIGHT_BRACKET';'cond';'EQ';'term';'MOD';'ELSE';'INTEGER';'STRING';'FALSE';'THEN';'io';'program';'NOT_EQ';'GREATER';'while_stmt';'ident_list';'FLOAT';'RIGHT_PAREN';'TYPE';'END';'out';'COMMA';'rel_op';'stmt';'OF';'PLUS';'MINUS';'TRUE';'stmt_without_if';'LESS';'decl';'INT';'if_stmt';'READ';'LESS_EQ';'ASSIGN'
'program';;;'PROGRAM11','PROGRAM21','PROGRAM31';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;'OK';;;;;;;;;;;;;;;;;;;;;;;;
'PROGRAM11','PROGRAM21','PROGRAM31';;;;;;;;;;;;;;;;;;;;;;;'IDENTIFIER12','IDENTIFIER22','IDENTIFIER32';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'IDENTIFIER12','IDENTIFIER22','IDENTIFIER32';;;;;;;;;;;'SEMICOLON13','SEMICOLON23','SEMICOLON33';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'SEMICOLON13','SEMICOLON23','SEMICOLON33';'BEGIN71';;;;;;;'var_decl24';;;;;;;;;;;;'VAR41';;;;;;;'block14';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'block14';;;;;;;;;;;;;;;;;;'DOT15';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'BEGIN71';'BEGIN71';;;;;;;;'WHILE281';;'SEMICOLON161';'assign101';;;;;;;;;'PRINT291','PRINT301';'stmt_list72';'IDENTIFIER561','IDENTIFIER571';;;;'block151';'full_id251';;'IF261','IF271';;;;;;;;;;;'io131';;;;'while_stmt121';;;;;'END81';'out141';;;'stmt91';;;;;;;;;'if_stmt111';'READ311';;
'var_decl24';'BEGIN71';;;;;;;;;;;;;;;;;;;;;;;;;;'block25';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'VAR41';;'decl_list42';;;;;;;;;;;;;;;;;;;;;'IDENTIFIER231','IDENTIFIER241';;;;;;;;;;;;;;;;;;;;;;;'ident_list171';;;'TYPE181';;;;;;;;;;;;'decl51','decl61';;;;;
'DOT15';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'stmt_list72';'R7';;;;;;;;'R7';;'R7';'R7';;;;;;'R7';;;'R7';'R7';'R7';;;;'R7';'R7';;'R7';;;;;;'R7';;;;;'R7';;;;'R7';;;;;'R7';'R7';;;'R7';;;;;;;;;'R7';'R7';;
'END81';'R8';;;;;;;;'R8';;'R8';'R8';;;;;;'R8';;;'R8';'R8';'R8';;;;'R8';'R8';;'R8';;;;;;'R8';;;;;'R8';;;;'R8';;;;;'R8';'R8';;;'R8';;;;;;;;;'R8';'R8';;
'stmt91';'BEGIN71';;;;;;;;'WHILE281';;'SEMICOLON161';'assign101';;;;;;;;;'PRINT291','PRINT301';'stmt_list92';'IDENTIFIER561','IDENTIFIER571';;;;'block151';'full_id251';;'IF261','IF271';;;;;;;;;;;'io131';;;;'while_stmt121';;;;;'END81';'out141';;;'stmt91';;;;;;;;;'if_stmt111';'READ311';;
'assign101';;;;;;;;;;;'SEMICOLON102';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'if_stmt111';'R11';;;;;;;;'R11';;'R11';'R11';;;;;;;;;'R11';'R11';'R11';;;;'R11';'R11';;'R11';;;;;;'R11';;;;;'R11';;;;'R11';;;;;'R11';'R11';;;'R11';;;;;;;;;'R11';'R11';;
'while_stmt121';'R12';;;;;;;;'R12';;'R12';'R12';;;;;;;;;'R12';'R12';'R12';;;;'R12';'R12';;'R12';;;;;;'R12';;;;;'R12';;;;'R12';;;;;'R12';'R12';;;'R12';;;;;;;;;'R12';'R12';;
'io131';;;;;;;;;;;'SEMICOLON132';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'out141';;;;;;;;;;;'SEMICOLON142';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'block151';'R15';;;;;;;;'R15';;'R15';'R15';;;;;;;;;'R15';'R15';'R15';;;;'R15';'R15';;'R15';;;;;;'R15';;;;;'R15';;;;'R15';;;;;'R15';'R15';;;'R15';;;;;;;;;'R15';'R15';;
